x;y
482;230.826522
483;231.114933
484;231.404441
485;231.694550
486;231.983353
487;232.271672
488;232.561123
489;232.850592
490;233.138946
491;233.427159
492;233.716604
493;234.005590
494;234.293487
495;234.581505
496;234.870667
497;235.159437
498;235.447089
499;235.734810
500;236.023443
501;236.311981
502;236.599438
503;236.887064
504;237.175158
505;237.463331
506;237.750492
507;238.038004
508;238.325858
509;238.613643
510;238.900389
511;239.187515
512;239.475295
513;239.762882
514;240.049220
515;240.335814
516;240.623466
517;240.910782
518;241.196937
519;241.483129
520;241.770477
521;242.057367
522;242.343227
523;242.629335
524;242.916447
525;243.202813
526;243.488151
527;243.774277
528;244.061281
529;244.347193
530;244.631953
531;244.917997
532;245.204685
533;245.490307
534;245.774807
535;246.060603
536;246.346800
537;246.632022
538;246.916533
539;247.202165
540;247.487814
541;247.772478
542;248.056981
543;248.342409
544;248.627746
545;248.911926
546;249.196237
547;249.481226
548;249.766422
549;250.050460
550;250.334372
551;250.618836
552;250.903790
553;251.187723
554;251.471342
555;251.755466
556;252.040014
557;252.323680
558;252.606951
559;252.891091
560;253.175288
561;253.458436
562;253.741247
563;254.025436
564;254.309485
565;254.592052
566;254.874499
567;255.158533
568;255.442315
569;255.724517
570;256.006917
571;256.290527
572;256.573835
573;256.855646
574;257.138186
575;257.421485
576;257.704212
577;257.985620
578;258.268169
579;258.551297
580;258.833561
581;259.114632
582;259.396856
583;259.679666
584;259.961650
585;260.242729
586;260.524473
587;260.806885
588;261.088511
589;261.369558
590;261.651000
591;261.932979
592;262.214147
593;262.494971
594;262.776281
595;263.058083
596;263.338905
597;263.619170
598;263.900152
599;264.181732
600;264.462452
601;264.742166
602;265.022878
603;265.304208
604;265.584709
605;265.864112
606;266.144523
607;266.425317
608;266.705225
609;266.984412
610;267.264842
611;267.545493
612;267.824730
613;268.103622
614;268.383787
615;268.664132
616;268.942558
617;269.221094
618;269.501004
619;269.781111
620;270.059352
621;270.337854
622;270.617214
623;270.896381
624;271.174007
625;271.452185
626;271.731271
627;272.009839
628;272.287407
629;272.565527
630;272.844364
631;273.122099
632;273.398792
633;273.675912
634;273.954026
635;274.231626
636;274.508473
637;274.785349
638;275.062875
639;275.339807
640;275.615487
641;275.891178
642;276.167508
643;276.443851
644;276.719250
645;276.995352
646;277.271963
647;277.547711
648;277.821410
649;278.095667
650;278.370798
651;278.645424
652;278.918574
653;279.192881
654;279.468004
655;279.741448
656;280.012991
657;280.284747
658;280.556960
659;280.827895
660;281.098780
661;281.371191
662;281.644336
663;281.915658
664;282.186116
665;282.456465
666;282.726049
667;282.993708
668;283.261517
669;283.530100
670;283.797366
671;284.062614
672;284.326608
